Acceleration;Car;Cylinders;Displacement;Horsepower;MPG;Model;Origin;RHS;Weight
0.0;16.0;0.0;?;3.0;1.0;1.0;0.0;Car;19.0
0.0;16.0;0.0;?;3.0;0.0;1.0;0.0;Car;33.0
0.0;16.0;0.0;?;3.0;0.0;?;0.0;Car;33.0
?;16.0;0.0;2.0;7.0;0.1;?;0.0;Car;3.0
?;16.0;0.0;?;1.0;0.5;2.0;?;Car;0.0
2.5;16.0;0.0;9.0;?;?;1.0;0.91;Car;2.0
?;16.0;0.0;0.0;1.0;?;0.0;0.0;Car;30.0
?;16.0;0.0;0.0;?;1.0;0.0;0.0;Car;30.0
0.0;16.0;0.0;?;?;0.0;0.0;0.0;Car;195.0
2.1;16.0;0.0;4.0;1.0;0.5;?;0.83;Car;0.0
0.7;16.0;0.0;14.0;6.0;?;1.0;0.83;Car;5.0
2.6;16.0;0.0;0.0;12.0;?;0.0;0.0;Car;5.0
0.6;16.0;0.0;25.0;?;0.4;?;0.0;Car;6.0
0.3;16.0;0.0;16.0;?;?;3.0;0.0;Car;1.0
2.5;16.0;0.0;9.0;?;?;1.0;?;Car;2.0
2.6;16.0;0.0;0.0;12.0;1.0;0.0;0.0;Car;5.0
0.0;16.0;0.0;8.0;12.0;?;?;0.0;Car;4.0
3.8;16.0;0.0;2.0;?;0.1;?;0.0;Car;3.0
?;16.0;0.0;0.5;8.0;?;1.0;?;Car;4.0
0.5;16.0;0.0;33.0;3.0;0.0;0.0;0.0;Car;58.0
0.5;16.0;0.0;?;5.0;0.0;0.0;0.0;Car;42.0
?;16.0;0.0;1.0;12.0;0.0;0.0;0.0;Car;55.0
?;16.0;0.0;26.0;10.0;0.0;?;0.0;Car;17.0
?;16.0;0.0;?;19.0;0.1;0.0;0.0;Car;5.0
0.3;16.0;0.0;10.0;15.0;?;?;?;Car;0.0
0.3;16.0;0.0;?;?;0.5;?;0.0;Car;1.0
1.7;16.0;0.0;0.0;0.0;3.8;3.0;0.0;Car;2.0
1.8;16.0;0.0;?;3.0;0.2;2.0;0.0;Car;6.0
0.3;16.0;0.0;10.0;?;?;?;0.83;Car;0.0
?;16.0;0.0;4.0;1.0;0.5;2.0;?;Car;0.0
1.7;16.0;0.0;0.0;0.0;3.8;?;0.0;Car;2.0
2.1;16.0;0.0;4.0;1.0;?;?;0.83;Car;0.0
0.5;16.0;0.0;0.0;0.0;?;0.0;0.0;Car;30.0
1.8;16.0;0.0;?;3.0;0.2;?;0.0;Car;6.0
0.7;16.0;0.0;14.0;?;1.9;1.0;0.83;Car;5.0
1.7;16.0;0.0;0.0;0.0;?;3.0;0.0;Car;2.0
0.0;16.0;0.0;?;?;?;1.0;0.0;Car;4.0
0.5;16.0;0.0;33.0;3.0;?;0.0;0.0;Car;6.0
2.1;16.0;0.0;4.0;?;0.5;?;0.83;Car;0.0
0.5;16.0;0.0;14.0;5.0;0.0;0.0;0.0;Car;42.0
0.4;16.0;0.0;9.0;9.0;?;0.0;?;Car;10.0
0.1;16.0;0.0;1.0;1.0;0.0;?;?;Car;170.0
0.4;16.0;0.0;9.0;?;?;0.0;?;Car;10.0
1.5;16.0;0.0;1.0;?;0.0;0.0;0.0;Car;55.0
0.3;16.0;0.0;10.0;15.0;?;?;0.83;Car;0.0
0.3;16.0;0.0;16.0;?;0.5;3.0;0.0;Car;1.0
0.7;16.0;0.0;?;6.0;?;1.0;0.83;Car;5.0
2.1;16.0;0.0;4.0;1.0;0.5;2.0;?;Car;0.0
?;16.0;0.0;?;1.0;0.5;?;0.83;Car;0.0
?;16.0;0.0;2.0;7.0;0.1;2.0;0.0;Car;3.0
2.0;16.0;0.0;7.0;4.0;0.0;0.0;0.92;Car;145.0
?;16.0;0.0;?;3.0;1.0;0.0;0.0;Car;6.0
?;16.0;0.0;14.0;?;0.0;0.0;0.0;Car;42.0
?;16.0;0.0;5.0;3.0;0.2;?;0.0;Car;6.0
0.3;16.0;0.0;0.5;?;11.0;?;0.0;Car;1.0
0.0;16.0;0.0;8.0;12.0;4.0;1.0;0.0;Car;4.0
?;16.0;0.0;4.0;?;0.5;2.0;?;Car;0.0
2.1;16.0;0.0;?;1.0;0.5;2.0;?;Car;0.0
?;16.0;0.0;?;1.0;0.5;?;?;Car;0.0
?;16.0;0.0;0.0;0.0;3.8;?;0.0;Car;2.0
?;16.0;0.0;2.0;?;0.1;2.0;0.0;Car;3.0
?;16.0;0.0;?;3.0;?;0.0;0.0;Car;6.0
?;16.0;0.0;0.5;8.0;2.0;1.0;?;Car;4.0
?;16.0;0.0;16.0;5.0;0.5;3.0;0.0;Car;1.0
0.3;16.0;0.0;16.0;5.0;0.5;3.0;0.0;Car;1.0
?;16.0;0.0;4.0;1.0;0.5;?;0.83;Car;0.0
0.5;16.0;0.0;?;3.0;?;0.0;0.0;Car;6.0
0.7;16.0;0.0;?;6.0;?;1.0;?;Car;5.0
0.1;16.0;0.0;1.0;1.0;0.0;1.0;?;Car;170.0
?;16.0;0.0;2.0;?;0.1;?;0.0;Car;3.0
1.0;16.0;0.0;25.0;22.0;1.0;0.0;0.0;Car;13.0
1.0;16.0;0.0;6.0;3.0;?;3.0;0.0;Car;5.0
?;16.0;0.0;5.0;?;0.2;?;0.0;Car;6.0
0.0;16.0;0.0;?;13.0;0.0;0.0;0.0;Car;195.0
?;16.0;0.0;0.0;0.0;?;?;0.0;Car;2.0
0.2;16.0;0.0;25.0;25.0;0.1;4.0;0.0;Car;55.0
?;16.0;0.0;?;1.0;0.5;2.0;0.83;Car;0.0
0.8;16.0;0.0;0.0;2.0;?;?;0.0;Car;6.0
0.3;16.0;0.0;10.0;?;6.2;?;0.83;Car;0.0
0.5;16.0;0.0;14.0;?;0.0;0.0;0.0;Car;42.0
0.5;16.0;0.0;?;3.0;1.0;0.0;0.0;Car;6.0
0.3;16.0;0.0;?;?;0.5;3.0;0.0;Car;1.0
0.0;16.0;0.0;33.0;?;0.0;?;0.0;Car;33.0
?;16.0;0.0;0.5;8.0;2.0;?;?;Car;4.0
0.5;16.0;0.0;0.0;4.0;0.1;2.0;0.0;Car;148.0
2.1;16.0;0.0;4.0;1.0;?;?;?;Car;0.0
0.3;16.0;0.0;0.5;10.0;?;?;0.0;Car;1.0
2.6;16.0;0.0;0.0;?;1.0;0.0;0.0;Car;5.0
0.8;16.0;0.0;0.0;2.0;?;4.0;0.0;Car;6.0
?;16.0;0.0;0.5;8.0;?;1.0;0.91;Car;4.0
?;16.0;0.0;33.0;3.0;?;0.0;0.0;Car;6.0
?;16.0;0.0;4.0;1.0;?;2.0;?;Car;0.0
3.8;16.0;0.0;2.0;7.0;0.1;?;0.0;Car;3.0
0.0;16.0;0.0;16.0;?;0.0;0.0;0.0;Car;195.0
0.0;16.0;0.0;33.0;3.0;0.0;1.0;0.0;Car;33.0
2.0;16.0;0.0;12.0;4.0;0.0;0.0;0.0;Car;167.0
0.7;16.0;0.0;?;6.0;1.9;1.0;?;Car;5.0
1.0;16.0;0.0;?;3.0;5.2;?;0.0;Car;5.0
2.1;16.0;0.0;?;1.0;0.5;?;?;Car;0.0
0.3;16.0;0.0;10.0;?;6.2;7.0;0.83;Car;0.0
?;16.0;0.0;?;5.0;0.0;0.0;0.0;Car;42.0
1.0;16.0;0.0;25.0;?;0.5;3.0;0.92;Car;0.0
2.1;16.0;0.0;4.0;1.0;0.5;?;?;Car;0.0
1.5;16.0;0.0;9.0;2.0;0.3;0.0;0.91;Car;170.0
0.3;16.0;0.0;10.0;?;?;7.0;?;Car;0.0
?;16.0;0.0;?;5.0;0.5;?;0.0;Car;1.0
0.0;16.0;0.0;8.0;?;4.0;?;0.0;Car;4.0
0.0;16.0;0.0;?;3.0;?;?;0.0;Car;19.0
0.3;16.0;0.0;?;5.0;0.5;3.0;0.0;Car;1.0
?;16.0;0.0;?;5.0;0.5;3.0;0.0;Car;1.0
1.0;16.0;0.0;?;?;0.5;?;?;Car;0.0
?;16.0;0.0;0.0;?;1.0;0.0;0.0;Car;5.0
?;16.0;0.0;16.0;5.0;0.5;?;0.0;Car;1.0
?;16.0;0.0;1.0;?;0.0;0.0;0.0;Car;55.0
?;16.0;0.0;?;10.0;0.0;2.0;0.0;Car;17.0
0.0;16.0;0.0;?;12.0;?;1.0;0.0;Car;4.0
2.0;16.0;0.0;0.0;1.0;1.0;0.0;0.0;Car;30.0
?;16.0;0.0;0.5;8.0;2.0;1.0;0.91;Car;4.0
2.1;16.0;0.0;?;1.0;0.5;?;0.83;Car;0.0
?;16.0;0.0;0.0;1.0;1.0;0.0;0.0;Car;30.0
?;16.0;0.0;0.0;0.0;?;3.0;0.0;Car;2.0
2.5;16.0;0.0;0.5;8.0;2.0;?;?;Car;4.0
2.1;16.0;0.0;?;1.0;0.5;2.0;0.83;Car;0.0
?;16.0;0.0;4.0;1.0;?;2.0;0.83;Car;0.0
0.7;16.0;0.0;0.0;0.0;0.0;0.0;0.0;Car;215.0
?;16.0;0.0;?;7.0;0.1;2.0;0.0;Car;3.0
?;16.0;0.0;0.0;0.0;3.8;3.0;0.0;Car;2.0
0.3;16.0;0.0;16.0;5.0;0.5;?;0.0;Car;1.0
1.0;16.0;0.0;?;?;0.5;3.0;?;Car;0.0
?;16.0;0.0;0.0;12.0;1.0;0.0;0.0;Car;5.0
0.0;16.0;0.0;8.0;?;?;1.0;0.0;Car;4.0
?;16.0;0.0;0.5;8.0;2.0;?;0.91;Car;4.0
0.8;16.0;0.0;0.0;2.0;3.9;?;0.0;Car;6.0
?;16.0;0.0;2.0;7.0;?;2.0;0.0;Car;3.0
0.3;16.0;0.0;16.0;?;0.5;?;0.0;Car;1.0
0.5;16.0;0.0;?;3.0;0.0;0.0;0.0;Car;58.0
?;16.0;0.0;5.0;?;0.2;2.0;0.0;Car;6.0
0.0;16.0;0.0;33.0;3.0;?;?;0.0;Car;19.0
1.0;16.0;0.0;6.0;3.0;?;?;0.0;Car;5.0
2.6;16.0;0.0;0.0;?;?;0.0;0.0;Car;5.0
?;16.0;0.0;?;1.0;?;2.0;0.83;Car;0.0
2.1;16.0;0.0;?;1.0;?;2.0;0.83;Car;0.0
0.0;16.0;0.0;8.0;?;4.0;1.0;0.0;Car;4.0
?;16.0;0.0;4.0;1.0;0.5;?;?;Car;0.0
2.5;16.0;0.0;26.0;10.0;0.0;?;0.0;Car;17.0
0.3;16.0;0.0;16.0;5.0;?;3.0;0.0;Car;1.0
?;16.0;0.0;?;3.0;0.2;2.0;0.0;Car;6.0
0.0;16.0;0.0;?;?;0.0;1.0;0.0;Car;33.0
2.5;16.0;0.0;?;10.0;0.0;?;0.0;Car;17.0
1.7;16.0;0.0;0.0;0.0;?;?;0.0;Car;2.0
0.3;16.0;0.0;16.0;5.0;?;?;0.0;Car;1.0
1.8;16.0;0.0;5.0;3.0;0.2;?;0.0;Car;6.0
?;16.0;0.0;?;1.0;?;2.0;?;Car;0.0
?;16.0;0.0;?;3.0;0.2;?;0.0;Car;6.0
0.0;16.0;0.0;33.0;3.0;?;1.0;0.0;Car;19.0
?;16.0;0.0;4.0;?;0.5;2.0;0.83;Car;0.0
1.8;16.0;0.0;5.0;3.0;?;?;0.0;Car;6.0
0.3;16.0;0.0;0.5;?;?;?;0.0;Car;1.0
0.3;16.0;0.0;10.0;?;?;7.0;0.83;Car;0.0
0.0;16.0;0.0;8.0;?;?;?;0.0;Car;4.0
1.0;16.0;0.0;?;18.0;0.5;?;?;Car;0.0
0.0;15.0;0.0;24.0;3.0;?;?;?;Car;7.0
0.1;15.0;0.0;?;7.0;2.0;2.0;?;Car;0.0
?;15.0;0.0;3.0;?;1.7;1.0;?;Car;0.0
0.2;15.0;0.0;12.0;0.0;?;?;0.83;Car;2.0
5.0;15.0;0.0;?;3.0;0.0;?;?;Car;8.0
0.0;15.0;0.0;9.0;9.0;2.0;0.0;0.91;Car;8.0
?;15.0;0.0;1.0;?;?;0.0;?;Car;1.0
0.2;15.0;0.0;6.0;?;10.3;8.0;0.83;Car;0.0
0.1;15.0;0.0;2.0;9.0;?;?;?;Car;11.0
1.7;15.0;0.0;10.0;12.0;?;?;0.0;Car;0.0
0.3;15.0;0.0;7.0;0.0;?;5.0;0.0;Car;20.0
0.2;15.0;0.0;6.0;19.0;?;?;?;Car;0.0
?;15.0;0.0;12.0;3.0;0.0;?;0.92;Car;8.0
0.4;15.0;0.0;2.0;12.0;?;1.0;?;Car;10.0
0.8;15.0;0.0;?;?;1.7;1.0;?;Car;0.0
0.4;15.0;0.0;26.0;10.0;0.0;1.0;0.0;Car;3.0
0.2;15.0;0.0;6.0;?;?;8.0;?;Car;0.0
?;15.0;0.0;?;10.0;0.0;1.0;0.0;Car;3.0
0.8;15.0;0.0;?;1.0;?;1.0;?;Car;0.0
?;15.0;0.0;7.0;2.0;0.3;0.0;0.0;Car;170.0
0.5;15.0;0.0;2.0;12.0;?;0.0;0.91;Car;5.0
1.0;15.0;0.0;14.0;0.0;2.0;0.0;0.0;Car;3.0
?;15.0;0.0;12.0;3.0;0.0;?;?;Car;8.0
?;15.0;0.0;3.0;1.0;1.7;?;?;Car;0.0
1.8;15.0;0.0;0.0;0.0;?;2.0;0.0;Car;5.0
?;15.0;0.0;?;1.0;?;1.0;0.91;Car;0.0
1.3;15.0;0.0;7.0;2.0;0.3;0.0;0.0;Car;170.0
0.0;15.0;0.0;24.0;3.0;?;2.0;0.92;Car;7.0
0.1;15.0;0.0;?;7.0;2.0;?;0.91;Car;0.0
0.1;15.0;0.0;2.0;?;?;6.0;0.83;Car;11.0
?;15.0;0.0;3.0;?;?;1.0;?;Car;0.0
0.0;15.0;0.0;?;9.0;2.0;0.0;?;Car;8.0
3.3;15.0;0.0;1.0;?;?;0.0;0.83;Car;1.0
1.6;15.0;0.0;8.0;?;?;1.0;0.0;Car;2.0
?;15.0;0.0;8.0;4.0;?;1.0;0.0;Car;2.0
0.0;15.0;0.0;14.0;?;0.5;?;?;Car;91.0
0.0;15.0;0.0;6.0;?;0.5;3.0;0.0;Car;12.0
0.2;15.0;0.0;12.0;0.0;?;?;?;Car;2.0
0.4;15.0;0.0;0.0;?;?;3.0;0.0;Car;15.0
0.8;15.0;0.0;3.0;1.0;1.7;1.0;?;Car;0.0
0.0;15.0;0.0;24.0;3.0;?;2.0;?;Car;7.0
?;15.0;0.0;26.0;10.0;0.0;?;0.0;Car;3.0
0.4;15.0;0.0;2.0;?;?;1.0;?;Car;10.0
?;15.0;0.0;1.0;7.0;?;?;?;Car;0.0
0.1;15.0;0.0;1.0;7.0;?;?;0.91;Car;0.0
0.1;15.0;0.0;?;?;2.0;2.0;?;Car;0.0
?;15.0;0.0;3.0;1.0;?;1.0;?;Car;0.0
0.2;15.0;0.0;6.0;?;?;?;0.83;Car;0.0
?;15.0;0.0;3.0;1.0;?;?;0.91;Car;0.0
?;15.0;0.0;8.0;4.0;1.3;1.0;0.0;Car;2.0
0.5;15.0;0.0;2.0;?;?;0.0;?;Car;5.0
0.1;15.0;0.0;1.0;7.0;?;2.0;?;Car;0.0
0.3;15.0;0.0;9.0;1.0;?;?;?;Car;1.0
0.8;15.0;0.0;?;1.0;?;1.0;0.91;Car;0.0
0.2;15.0;0.0;12.0;0.0;6.0;8.0;0.83;Car;2.0
0.1;15.0;0.0;1.0;?;?;?;0.91;Car;0.0
1.0;15.0;0.0;14.0;0.0;?;0.0;0.0;Car;3.0
0.0;15.0;0.0;?;?;2.0;0.0;0.91;Car;8.0
0.7;15.0;0.0;?;3.0;0.3;?;0.0;Car;25.0
0.0;15.0;0.0;?;5.0;3.0;2.0;0.0;Car;10.0
0.1;15.0;0.0;?;7.0;?;?;?;Car;0.0
1.6;15.0;0.0;8.0;4.0;1.3;1.0;0.0;Car;2.0
0.1;15.0;0.0;0.0;0.0;?;?;0.0;Car;15.0
0.0;15.0;0.0;?;5.0;?;?;0.0;Car;10.0
0.4;15.0;0.0;?;10.0;0.0;1.0;0.0;Car;3.0
0.2;15.0;0.0;6.0;?;10.3;8.0;?;Car;0.0
1.6;15.0;0.0;?;4.0;?;1.0;0.0;Car;2.0
0.1;15.0;0.0;1.0;7.0;?;2.0;0.91;Car;0.0
0.3;15.0;0.0;9.0;1.0;?;?;0.91;Car;1.0
0.5;15.0;0.0;0.0;0.0;?;0.0;0.0;Car;37.0
?;15.0;0.0;14.0;0.0;?;0.0;0.0;Car;3.0
0.4;15.0;0.0;26.0;?;0.0;1.0;0.0;Car;3.0
0.0;15.0;0.0;6.0;15.0;0.5;3.0;0.0;Car;12.0
1.6;15.0;0.0;8.0;4.0;?;1.0;0.0;Car;2.0
0.2;15.0;0.0;6.0;?;10.3;?;0.83;Car;0.0
0.0;15.0;0.0;?;15.0;0.5;?;0.0;Car;12.0
0.1;15.0;0.0;?;?;?;?;?;Car;0.0
?;15.0;0.0;3.0;1.0;1.7;1.0;?;Car;0.0
0.3;15.0;0.0;7.0;2.0;?;?;0.83;Car;12.0
0.1;15.0;0.0;2.0;?;?;?;0.83;Car;11.0
0.1;15.0;0.0;?;7.0;?;2.0;0.91;Car;0.0
0.0;15.0;0.0;24.0;3.0;?;?;0.92;Car;7.0
0.1;15.0;0.0;1.0;7.0;2.0;?;0.91;Car;0.0
?;15.0;0.0;1.0;7.0;2.0;2.0;?;Car;0.0
0.8;15.0;0.0;3.0;1.0;?;1.0;?;Car;0.0
0.8;15.0;0.0;?;1.0;1.7;?;?;Car;0.0
0.2;15.0;0.0;12.0;0.0;?;8.0;0.83;Car;2.0
?;15.0;0.0;14.0;0.0;2.0;0.0;0.0;Car;3.0
?;15.0;0.0;1.0;7.0;2.0;2.0;0.91;Car;0.0
0.5;15.0;0.0;2.0;?;1.0;0.0;?;Car;5.0
0.0;15.0;0.0;6.0;?;?;3.0;0.0;Car;12.0
?;15.0;0.0;1.0;9.0;?;0.0;0.83;Car;1.0
0.1;15.0;0.0;?;7.0;?;2.0;?;Car;0.0
?;15.0;0.0;3.0;1.0;1.7;1.0;0.91;Car;0.0
?;15.0;0.0;1.0;?;7.7;0.0;?;Car;1.0
0.0;15.0;0.0;9.0;?;?;0.0;0.91;Car;8.0
0.0;15.0;0.0;8.0;2.0;0.0;3.0;0.0;Car;177.0
0.8;15.0;0.0;3.0;1.0;?;?;0.91;Car;0.0
?;15.0;0.0;12.0;3.0;0.0;3.0;0.92;Car;8.0
0.0;15.0;0.0;6.0;15.0;0.5;?;0.0;Car;12.0
0.0;15.0;0.0;?;?;?;0.0;0.91;Car;8.0
0.0;15.0;0.0;?;9.0;2.0;0.0;0.91;Car;8.0
0.8;15.0;0.0;?;1.0;1.7;1.0;0.91;Car;0.0
3.3;15.0;0.0;1.0;?;?;0.0;?;Car;1.0
0.8;15.0;0.0;3.0;?;?;1.0;?;Car;0.0
0.3;15.0;0.0;9.0;1.0;?;4.0;?;Car;1.0
0.1;15.0;0.0;18.5;1.0;0.0;?;?;Car;94.0
?;15.0;0.0;?;10.0;0.0;?;0.0;Car;3.0
0.1;15.0;0.0;?;?;?;2.0;?;Car;0.0
1.0;15.0;0.0;?;0.0;?;0.0;0.0;Car;3.0
0.1;15.0;0.0;5.0;2.0;0.2;?;0.0;Car;300.0
0.0;15.0;0.0;?;?;2.0;0.0;?;Car;8.0
0.0;15.0;0.0;32.0;?;0.3;?;0.0;Car;110.0
0.2;15.0;0.0;12.0;0.0;6.0;8.0;?;Car;2.0
0.1;15.0;0.0;?;1.0;0.0;?;0.92;Car;94.0
0.1;15.0;0.0;1.0;?;?;2.0;0.91;Car;0.0
0.5;15.0;0.0;2.0;12.0;?;0.0;?;Car;5.0
?;15.0;0.0;?;0.0;?;0.0;0.0;Car;3.0
0.2;15.0;0.0;6.0;?;?;?;?;Car;0.0
0.0;15.0;0.0;?;5.0;?;2.0;0.0;Car;10.0
?;15.0;0.0;3.0;1.0;?;?;?;Car;0.0
0.4;15.0;0.0;?;?;0.0;1.0;0.0;Car;3.0
?;15.0;0.0;3.0;1.0;?;1.0;0.91;Car;0.0
0.0;15.0;0.0;?;5.0;3.0;?;0.0;Car;10.0
?;15.0;0.0;8.0;4.0;1.3;?;0.0;Car;2.0
?;15.0;0.0;?;0.0;2.0;0.0;0.0;Car;3.0
0.5;15.0;0.0;23.0;0.0;0.0;0.0;0.0;Car;316.0
0.0;15.0;0.0;6.0;?;0.5;?;0.0;Car;12.0
0.1;15.0;0.0;1.0;7.0;?;?;?;Car;0.0
3.3;15.0;0.0;1.0;9.0;?;0.0;?;Car;1.0
0.4;15.0;0.0;26.0;10.0;0.0;?;0.0;Car;3.0
0.0;15.0;0.0;?;9.0;?;0.0;?;Car;8.0
0.5;15.0;0.0;16.0;10.0;1.0;0.0;0.0;Car;13.0
0.1;15.0;0.0;?;?;2.0;?;?;Car;0.0
0.8;15.0;0.0;3.0;?;1.7;1.0;?;Car;0.0
1.1;15.0;0.0;0.0;20.0;?;0.0;0.0;Car;24.0
0.0;15.0;0.0;9.0;9.0;?;0.0;?;Car;8.0
?;15.0;0.0;?;4.0;1.3;1.0;0.0;Car;2.0
?;15.0;0.0;1.0;?;?;0.0;0.83;Car;1.0
?;15.0;0.0;1.0;7.0;?;2.0;?;Car;0.0
?;15.0;0.0;1.0;7.0;2.0;?;?;Car;0.0
1.6;15.0;0.0;?;4.0;1.3;1.0;0.0;Car;2.0
1.0;15.0;0.0;?;0.0;2.0;0.0;0.0;Car;3.0
?;15.0;0.0;3.0;?;1.7;1.0;0.91;Car;0.0
0.3;15.0;0.0;9.0;1.0;7.2;4.0;?;Car;1.0
1.7;15.0;0.0;11.0;4.0;0.0;0.0;0.0;Car;160.0
0.3;15.0;0.0;9.0;?;?;4.0;?;Car;1.0
0.5;15.0;0.0;2.0;?;?;0.0;0.91;Car;5.0
0.1;15.0;0.0;2.0;?;?;6.0;?;Car;11.0
0.1;15.0;0.0;0.0;0.0;6.0;?;0.0;Car;15.0
?;15.0;0.0;?;1.0;?;1.0;?;Car;0.0
0.0;15.0;0.0;6.0;15.0;?;3.0;0.0;Car;12.0
0.8;15.0;0.0;34.0;17.0;0.0;?;0.0;Car;2.0
?;15.0;0.0;3.0;1.0;1.7;?;0.91;Car;0.0
0.3;15.0;0.0;9.0;1.0;?;4.0;0.91;Car;1.0
0.0;15.0;0.0;1.0;?;0.0;0.0;0.0;Car;263.0
0.4;15.0;0.0;26.0;?;0.0;?;0.0;Car;3.0
0.2;15.0;0.0;12.0;0.0;6.0;?;0.83;Car;2.0
0.1;15.0;0.0;1.0;?;2.0;2.0;0.91;Car;0.0
0.3;15.0;0.0;7.0;2.0;?;5.0;0.83;Car;12.0
0.7;15.0;0.0;13.0;?;0.3;?;0.0;Car;25.0
?;15.0;0.0;0.0;?;0.5;0.0;0.0;Car;71.0
0.0;15.0;0.0;9.0;?;?;0.0;?;Car;8.0
0.3;15.0;0.0;7.0;0.0;?;?;0.0;Car;20.0
0.1;15.0;0.0;0.0;0.0;?;1.0;0.0;Car;15.0
0.2;15.0;0.0;6.0;?;?;8.0;0.83;Car;0.0
?;15.0;0.0;1.0;9.0;?;0.0;?;Car;1.0
0.5;15.0;0.0;2.0;?;1.0;0.0;0.91;Car;5.0
0.2;15.0;0.0;6.0;19.0;?;?;0.83;Car;0.0
0.0;15.0;0.0;9.0;9.0;?;0.0;0.91;Car;8.0
0.8;15.0;0.0;3.0;1.0;1.7;?;?;Car;0.0
0.8;15.0;0.0;3.0;?;1.7;1.0;0.91;Car;0.0
1.6;15.0;0.0;8.0;4.0;?;?;0.0;Car;2.0
0.0;15.0;0.0;?;9.0;?;0.0;0.91;Car;8.0
0.1;15.0;0.0;1.0;?;2.0;?;?;Car;0.0
0.8;15.0;0.0;?;17.0;0.0;?;0.0;Car;2.0
0.1;15.0;0.0;1.0;7.0;2.0;?;?;Car;0.0
0.1;15.0;0.0;2.0;?;?;?;?;Car;11.0
0.1;15.0;0.0;?;1.0;0.0;4.0;?;Car;94.0
0.4;15.0;0.0;?;10.0;0.0;?;0.0;Car;3.0
0.1;15.0;0.0;?;?;?;?;0.91;Car;0.0
0.8;15.0;0.0;3.0;1.0;?;1.0;0.91;Car;0.0
0.2;15.0;0.0;6.0;?;10.3;?;?;Car;0.0
0.0;15.0;0.0;0.0;10.0;0.7;1.0;0.0;Car;165.0
1.6;15.0;0.0;8.0;4.0;1.3;?;0.0;Car;2.0
0.9;15.0;0.0;5.0;?;0.2;0.0;?;Car;105.0
?;15.0;0.0;26.0;10.0;0.0;1.0;0.0;Car;3.0
0.1;15.0;0.0;1.0;?;?;2.0;?;Car;0.0
0.1;15.0;0.0;?;1.0;0.0;?;?;Car;94.0
0.1;15.0;0.0;1.0;?;2.0;?;0.91;Car;0.0
?;15.0;0.0;1.0;9.0;7.7;0.0;?;Car;1.0
?;15.0;0.0;?;1.0;1.7;1.0;?;Car;0.0
0.1;15.0;0.0;1.0;?;?;?;?;Car;0.0
0.5;15.0;0.0;2.0;12.0;1.0;0.0;?;Car;5.0
?;15.0;0.0;?;3.0;0.0;?;?;Car;8.0
0.3;15.0;0.0;10.0;?;0.1;0.0;?;Car;145.0
?;15.0;0.0;?;3.0;0.0;3.0;?;Car;8.0
0.0;15.0;0.0;?;?;?;0.0;?;Car;8.0
?;15.0;0.0;12.0;3.0;0.0;3.0;?;Car;8.0
0.8;15.0;0.0;3.0;1.0;?;?;?;Car;0.0
0.8;15.0;0.0;?;1.0;1.7;1.0;?;Car;0.0
?;15.0;0.0;8.0;?;1.3;1.0;0.0;Car;2.0
?;15.0;0.0;?;4.0;?;1.0;0.0;Car;2.0
0.1;15.0;0.0;1.0;?;2.0;2.0;?;Car;0.0
?;15.0;0.0;1.0;?;7.7;0.0;0.83;Car;1.0
?;15.0;0.0;?;3.0;0.0;3.0;0.92;Car;8.0
1.6;15.0;0.0;?;4.0;1.3;?;0.0;Car;2.0
